a,b,c,d
0.62,0,181,1
0.62,0.1,181,1
0.62,0.2,181,1
0.62,0.3,181,1
0.62,0.4,181,1
0.62,0.5,181,1
0.62,0.6,181,1
0.62,0.7,181,1
0.62,0.8,181,1
0.62,0.9,181,1
0.62,1,181,1
0.62,1.1,181,1
0.62,1.2,181,1
0.62,1.3,181,1
0.62,1.4,181,1
0.62,1.5,181,1
0.62,1.6,181,1
0.62,1.7,181,1
0.62,1.8,181,1
0.62,1.9,181,1
0.62,2,181,1
0.62,2.1,181,1
0.62,2.2,181,1
0.62,2.3,181,1
0.62,2.4,181,1
0.62,2.5,181,1
0.62,2.6,181,1
0.62,2.7,181,1
0.62,2.8,181,1
0.62,2.9,181,1
0.62,3,181,1
0.62,3.1,181,1
0.62,3.2,181,1
0.62,3.3,181,1
0.62,3.4,181,1
0.62,3.5,181,1
0.62,3.6,181,1
0.62,3.7,181,1
0.62,3.8,181,1
0.62,3.9,181,1
0.62,4,181,1
0.62,4.1,181,1
0.62,4.2,181,1
0.62,4.3,181,1
0.62,4.4,181,1
0.62,4.5,181,1
0.62,4.6,181,1
0.62,4.7,181,1
0.62,4.8,181,1
0.62,4.9,181,1
0.62,5,181,1
0.62,5.1,181,1
0.62,5.2,181,1
0.62,5.3,181,1
0.62,5.4,181,1
0.62,5.5,181,1
0.62,5.6,181,1
0.62,5.7,181,1
0.62,5.8,181,1
0.62,5.9,181,1
0.62,6,181,1
0.62,6.1,181,1
0.62,6.2,181,1
0.62,6.3,181,1
0.62,6.4,181,1
0.62,6.5,181,1
0.62,6.6,181,1
0.62,6.7,181,1
0.62,6.8,181,1
0.62,6.9,181,1
0.62,7,181,1
0.62,7.1,181,1
0.62,7.2,181,1
0.62,7.3,181,1
0.62,7.4,181,1
0.62,7.5,181,1
0.62,7.6,181,1
0.62,7.7,181,1
0.62,7.8,181,1
0.62,7.9,181,1
0.62,8,181,1
0.62,8.1,181,1
0.62,8.2,181,1
0.62,8.3,181,1
0.62,8.4,181,1
0.62,8.5,181,1
0.62,8.6,181,1
0.62,8.7,181,1
0.62,8.8,181,1
0.62,8.9,181,1
0.62,9,181,1
0.62,9.1,181,1
0.62,9.2,181,1
0.62,9.3,181,1
0.62,9.4,181,1
0.62,9.5,181,1
0.62,9.6,181,1
0.62,9.7,181,1
0.62,9.8,181,1
0.62,9.9,181,1
0.62,10,181,1
0.62,10.1,181,1
0.62,10.2,181,1
0.62,10.3,181,1
0.62,10.4,181,1
0.62,10.5,181,1
0.62,10.6,181,1
0.62,10.7,181,1
0.62,10.8,181,1
0.62,10.9,181,1
0.62,11,181,1
0.62,11.1,181,1
0.62,11.2,181,1
0.62,11.3,181,1
0.62,11.4,181,1
0.62,11.5,181,1
0.62,11.6,181,1
0.62,11.7,181,1
0.62,11.8,181,1
0.62,11.9,181,1
0.62,12,181,1
0.62,12.1,181,1
0.62,12.2,181,1
0.62,12.3,181,1
0.62,12.4,181,1
0.62,12.5,181,1
0.62,12.6,181,1
0.62,12.7,181,1
0.62,12.8,181,1
0.62,12.9,181,1
0.62,13,181,1
0.62,13.1,181,1
0.62,13.2,181,1
0.62,13.3,181,1
0.62,13.4,181,1
0.62,13.5,181,1
0.62,13.6,181,1
0.62,13.7,181,1
0.62,13.8,181,1
0.62,13.9,181,1
0.62,14,181,1
0.62,14.1,181,1
0.62,14.2,181,1
0.62,14.3,181,1
0.62,14.4,181,1
0.62,14.5,181,1
0.62,14.6,181,1
0.62,14.7,181,1
0.62,14.8,181,1
0.62,14.9,181,1
0.62,15,181,1
0.62,15.1,181,1
0.62,15.2,181,1
0.62,15.3,181,1
0.62,15.4,181,1
0.62,15.5,181,1
0.62,15.6,181,1
0.62,15.7,181,1
0.62,15.8,181,1
0.62,15.9,181,1
0.62,16,181,1
0.62,16.1,181,1
0.62,16.2,181,1
0.62,16.3,181,1
0.62,16.4,181,1
0.62,16.5,181,1
0.62,16.6,181,1
0.62,16.7,181,1
0.62,16.8,181,1
0.62,16.9,181,1
0.62,17,181,1
0.62,17.1,181,1
0.62,17.2,181,1
0.62,17.3,181,1
0.62,17.4,181,1
0.62,17.5,181,1
0.62,17.6,181,1
0.62,17.7,181,1
0.62,17.8,181,1
0.62,17.9,181,1
0.62,18,181,1
0.62,18.1,181,1
0.62,18.2,181,1
0.62,18.3,181,1
0.62,18.4,181,1
0.62,18.5,181,1
0.62,18.6,181,1
0.62,18.7,181,1
0.62,18.8,181,1
0.62,18.9,181,1
0.62,19,181,1
0.62,19.1,181,1
0.62,19.2,181,1
0.62,19.3,181,1
0.62,19.4,181,1
0.62,19.5,181,1
0.62,19.6,181,1
0.62,19.7,181,1
0.62,19.8,181,1
0.62,19.9,181,1
0.62,20,181,1
0.62,20.1,181,1
0.62,20.2,181,1
0.62,20.3,181,1
0.62,20.4,181,1
0.62,20.5,181,1
0.62,20.6,181,1
0.62,20.7,181,1
0.62,20.8,181,1
0.62,20.9,181,1
0.62,21,181,1
0.62,21.1,181,1
0.62,21.2,181,1
0.62,21.3,181,1
0.62,21.4,181,1
0.62,21.5,181,1
0.62,21.6,181,1
0.62,21.7,181,1
0.62,21.8,181,1
0.62,21.9,181,1
0.62,22,181,1
0.62,22.1,181,1
0.62,22.2,181,1
0.62,22.3,181,1
0.62,22.4,181,1
0.62,22.5,181,1
0.62,22.6,181,1
0.62,22.7,181,1
0.62,22.8,181,1
0.62,22.9,181,1
0.62,23,181,1
0.62,23.1,181,1
0.62,23.2,181,1
0.62,23.3,181,1
0.62,23.4,181,1
0.62,23.5,181,1
0.62,23.6,181,1
0.62,23.7,181,1
0.62,23.8,181,1
0.62,23.9,181,1
0.62,24,181,1
