bearing,bearing_risk(HH),bearing_risk(30),bearing_risk(45),bearing_risk(60)
0,0,0,0,0
0.1,0.554254156,0,0,0
0.2,0.554254156,0,0,0
0.3,0.561657471,0,0,0
0.4,0.572486201,0,0,0
0.5,0.58375692,0,0,0
0.6,0.600442003,0,0,0
0.7,0.624640897,0,0,0
0.8,0.631602224,0,0,0
0.9,0.679889518,0,0,0
1,0.702209961,0,0,0
1.1,0.742430956,0,0,0
1.2,0.787292836,0,0,0
1.3,0.813038691,0,0,0
1.4,0.895138139,0,0,0
1.5,0.979337036,0,0,0
1.6,1.084419908,0,0,0
1.7,1.249723779,0,0,0
1.8,1.263535933,0,0,0
1.9,1.269944771,0,0,0
2,1.289834274,0,0,0
2.1,1.317679578,0,0,0
2.2,1.308508308,0,0,0
2.3,1.317016597,0,0,0
2.4,1.364640907,0,0,0
2.5,1.365193394,0,0,0
2.6,1.397679581,0,0,0
2.7,1.418232067,0,0,0
2.8,1.465635383,0,0,0
2.9,1.528839801,0,0,0
3,1.55093925,0,0,0
3.1,1.618011075,0,0,0
3.2,1.701767983,0,0,0
3.3,1.768066326,0,0,0
3.4,1.88198898,0,0,0
3.5,1.910939258,0,0,0
3.6,1.956795611,0,0,0
3.7,2.002541467,0,0,0
3.8,2.040884009,0,0,0
3.9,2.10950279,0,0,0
4,2.171712735,0,0,0
4.1,2.277679584,0,0,0
4.2,2.338563561,0,0,0
4.3,2.368066323,0,0,0
4.4,2.443314939,0,0,0
4.5,2.487513835,0,0,0
4.6,2.567955826,0,0,0
4.7,2.626850853,0,0,0
4.8,2.71756908,0,0,0
4.9,2.815138143,0,0,0
5,2.91082875,0,0,0
5.1,2.900221016,0,0,0
5.2,3.015027647,0,0,0
5.3,3.069834275,0,0,0
5.4,3.085524882,0,0,0
5.5,3.168176815,0,0,0
5.6,3.252375708,0,0,0
5.7,3.304309408,0,0,0
5.8,3.35082874,0,0,0
5.9,3.420662991,0,0,0
6,3.474475141,0,0,0
6.1,3.545745856,0,0,0
6.2,3.604419885,0,0,0
6.3,3.672707173,0,0,0
6.4,3.754033136,0,0,0
6.5,3.834033129,0,0,0
6.6,3.920220971,0,0,0
6.7,3.974917103,0,0,0
6.8,4.060220979,0,0,0
6.9,4.111491694,0,0,0
7,4.180883958,0,0,0
7.1,4.288950256,0,0,0
7.2,4.298342525,0,0,0
7.3,4.400441971,0,0,0
7.4,4.436795563,0,0,0
7.5,4.504751365,0,0,0
7.6,4.552375674,0,0,0
7.7,4.62872927,0,0,0
7.8,4.684751366,0,0,0
7.9,4.757237556,0,0,0
8,4.787845291,0,0,0
8.1,4.932486176,0,0,0
8.2,4.963535901,0,0,0
8.3,5.096906064,0,0,0
8.4,5.13513811,0,0,0
8.5,5.185745845,0,0,0
8.6,5.292928169,0,0,0
8.7,5.382983419,0,0,0
8.8,5.379558004,0,0,0
8.9,5.46209944,0,0,0
9,5.489613255,0,0,0
9.1,5.595580107,0,0,0
9.2,5.611712703,0,0,0
9.3,5.715027619,0,0,0
9.4,5.784861874,0,0,0
9.5,5.835911597,0,0,0
9.6,5.924309387,0,0,0
9.7,6.018011045,0,0,0
9.8,6.120331487,0,0,0
9.9,6.214254138,0,0,0
10,6.320662978,0,0,0
10.1,6.043314905,0,0,0
10.2,6.203867402,0,0,0
10.3,6.292596683,0,0,0
10.4,6.28707182,0,0,0
10.5,6.357900554,0,0,0
10.6,6.415911603,0,0,0
10.7,6.517237571,0,0,0
10.8,6.57657459,0,0,0
10.9,6.651491712,0,0,0
11,6.724972378,0,0,0
11.1,6.757790059,0,0,0
11.2,6.870276247,0,0,0
11.3,6.907955808,0,0,0
11.4,6.994364644,0,0,0
11.5,7.103425419,0,0,0
11.6,7.113922658,0,0,0
11.7,7.20220995,0,0,0
11.8,7.357900556,0,0,0
11.9,7.355469617,0,0,0
12,7.598232048,0,0,0
12.1,7.626850835,0,0,0
12.2,7.572596692,0,0,0
12.3,7.835248624,0,0,0
12.4,7.838232049,0,0,0
12.5,7.92872929,0,0,0
12.6,8.009060783,0,0,0
12.7,8.188397799,0,0,0
12.8,8.157900564,0,0,0
12.9,8.278011056,0,0,0
13,8.420883984,0,0,0
13.1,8.466408851,0,0,0
13.2,8.548618795,0,0,0
13.3,8.555580119,0,0,0
13.4,8.686850837,0,0,0
13.5,8.634254153,0,0,0
13.6,8.827734819,0,0,0
13.7,8.860442001,0,0,0
13.8,8.985193383,0,0,0
13.9,9.027182335,0,0,0
14,9.134254157,0,0,0
14.1,9.224640896,0,0,0
14.2,9.352044212,0,0,0
14.3,9.401215477,0,0,0
14.4,9.511491725,0,0,0
14.5,9.585745867,0,0,0
14.6,9.685082881,0,0,0
14.7,9.74000001,0,0,0
14.8,9.876132605,0,0,0
14.9,9.890276249,0,0,0
15,9.94596686,0,0,0
15.1,9.761436473,0,0,0
15.2,10.00950277,0,0,0
15.3,9.944861886,0,0,0
15.4,10.12530388,0,0,0
15.5,10.17049725,0,0,0
15.6,10.2485083,0,0,0
15.7,10.3564641,0,0,0
15.8,10.44232045,0,0,0
15.9,10.56729283,0,0,0
16,10.60176796,0,0,0
16.1,10.75348067,0,0,0
16.2,10.84331493,0,0,0
16.3,10.89458564,0,0,0
16.4,10.95348067,0,0,0
16.5,11.04585636,0,0,0
16.6,11.07767956,0,0,0
16.7,11.22198896,0,0,0
16.8,11.27182321,0,0,0
16.9,11.38353591,0,0,0
17,11.42872928,0,0,0
17.1,11.52696132,0,0,0
17.2,11.67348065,0,0,0
17.3,11.71259668,0,0,0
17.4,11.82784529,0,0,0
17.5,11.90331491,0,0,0
17.6,12.0237569,0,0,0
17.7,12.08143646,0,0,0
17.8,12.10464088,0,0,0
17.9,12.31966851,0,0,0
18,12.35867403,0,0,0
18.1,12.41502763,0,0,0
18.2,12.53513813,0,0,0
18.3,12.63790056,0,0,0
18.4,12.71425414,0,0,0
18.5,12.80817679,0,0,0
18.6,12.90950276,0,0,0
18.7,12.99016575,0,0,0
18.8,13.08519337,0,0,0
18.9,13.20276244,0,0,0
19,13.37337017,0,0,0
19.1,13.33558012,0,0,0
19.2,13.51348067,0,0,0
19.3,13.65149172,0,0,0
19.4,13.70486188,0,0,0
19.5,13.75834255,0,0,0
19.6,13.9239779,0,0,0
19.7,13.97856354,0,0,0
19.8,14.11502763,0,0,0
19.9,14.17281768,0,0,0
20,14.27160221,0,0,0
20.1,14.29734807,0,0,0
20.2,14.41292818,0,0,0
20.3,14.52850829,0,0,0
20.4,14.7280663,0,0,0
20.5,14.73281768,0,0,0
20.6,14.89027625,0,0,0
20.7,14.9883978,0,0,0
20.8,15.09502763,0,0,0
20.9,15.16574586,0,0,0
21,15.2560221,0,0,0
21.1,15.45292818,0,0,0
21.2,15.52497238,0,0,0
21.3,15.64187845,0,0,0
21.4,15.76265193,0,0,0
21.5,15.81381216,0,0,0
21.6,15.96906077,0,0,0
21.7,16.05447514,0,0,0
21.8,16.15127072,0,0,0
21.9,16.23524862,0,0,0
22,16.35657458,0,0,0
22.1,16.37922652,0,0,0
22.2,16.59558011,0,0,0
22.3,16.66773481,0,0,0
22.4,16.80187845,0,0,0
22.5,16.92574586,0,0,0
22.6,17.03823205,0,0,0
22.7,17.15392265,0,0,0
22.8,17.18828729,0,0,0
22.9,17.43889503,0,0,0
23,17.49060773,0,0,0
23.1,17.55303868,0,0,0
23.2,17.79535912,0,0,0
23.3,17.89723757,0,0,0
23.4,18.05502763,0,0,0
23.5,18.19502763,0,0,0
23.6,18.21392266,0,0,0
23.7,18.420221,0,0,0
23.8,18.54861879,0,0,0
23.9,18.69591161,0,0,0
24,18.73436465,0,0,0
24.1,18.8683978,0,0,0
24.2,19.06320443,0,0,0
24.3,19.21480664,0,0,0
24.4,19.28375692,0,0,0
24.5,19.46176796,0,0,0
24.6,19.56552487,0,0,0
24.7,19.6761326,0,0,0
24.8,19.79370167,0,0,0
24.9,20.02099448,0,0,0
25,20.08265194,0,0,0
25.1,20.14574586,0,0,0
25.2,20.35569061,0,0,0
25.3,20.65447514,0,0,0
25.4,20.62906078,0,0,0
25.5,20.72552487,0,0,0
25.6,20.95635359,0,0,0
25.7,21.06530387,0,0,0
25.8,21.1560221,0,0,0
25.9,21.3643094,0,0,0
26,21.55403315,0,0,0
26.1,21.70574586,0,0,0
26.2,21.83856354,0,0,0
26.3,22.02850829,0,0,0
26.4,22.07060773,0,0,0
26.5,22.30994475,0,0,0
26.6,22.49701658,0,0,0
26.7,22.61127073,0,0,0
26.8,22.71955802,0,0,0
26.9,23.00265194,0,0,0
27,23.10961327,0,0,0
27.1,23.29569061,0,0,0
27.2,23.38055249,0,0,0
27.3,23.51403315,0,0,0
27.4,23.88707182,0,0,0
27.5,24.00629834,0,0,0
27.6,24.20972376,0,0,0
27.7,24.32243094,0,0,0
27.8,24.4880663,0,0,0
27.9,24.80077348,0,0,0
28,24.84740331,0,0,0
28.1,25.13657458,0,0,0
28.2,25.20331491,0,0,0
28.3,25.45911602,0,0,0
28.4,25.53756906,0,0,0
28.5,25.80331491,0,0,0
28.6,25.85237569,0,0,0
28.7,26.16950276,0,0,0
28.8,26.48917127,0,0,0
28.9,26.6839779,0,0,0
29,26.82917128,0,0,0
29.1,26.96972376,0,0,0
29.2,27.31392265,0,0,0
29.3,27.36729282,0,0,0
29.4,27.67812155,0,0,0
29.5,27.74917128,0,0,0
29.6,28.09591161,0,0,0
29.7,28.43138122,0,0,0
29.8,28.5081768,0,0,0
29.9,28.78674033,0,0,0
30,29.0598895,0,0,0
30.1,29.12839778,14.68707183,0,0
30.2,29.49491712,14.30519337,0,0
30.3,29.71988951,14.85447515,0,0
30.4,29.93944751,15.33624311,0,0
30.5,30.08607735,15.47701659,0,0
30.6,30.50132597,15.85712708,0,0
30.7,30.77801104,16.4646409,0,0
30.8,30.899558,16.46232045,0,0
30.9,31.16088397,16.75447515,0,0
31,31.46541436,17.04872929,0,0
31.1,31.6160221,17.15491715,0,0
31.2,31.92486188,17.24209947,0,0
31.3,32.23933701,17.67701659,0,0
31.4,32.4279558,17.87447514,0,0
31.5,32.70994475,17.96917128,0,0
31.6,33.18198895,18.25337017,0,0
31.7,33.55657459,18.64552488,0,0
31.8,33.67779007,18.9327072,0,0
31.9,33.98883979,19.15955802,0,0
32,34.18419891,19.20110498,0,0
32.1,34.57425416,19.44342542,0,0
32.2,34.85856355,19.6287293,0,0
32.3,35.12486189,19.99447516,0,0
32.4,35.56674034,19.99337017,0,0
32.5,35.82165747,20.44110498,0,0
32.6,36.13403316,20.62022101,0,0
32.7,36.50696133,20.82165747,0,0
32.8,36.69756907,21.01480665,0,0
32.9,37.06154697,21.14132598,0,0
33,37.38983427,21.70729282,0,0
33.1,37.6522652,21.8161326,0,0
33.2,38.04209946,21.94607736,0,0
33.3,38.35834255,22.3444199,0,0
33.4,38.76475139,22.700663,0,0
33.5,39.17535913,22.72298343,0,0
33.6,39.5522652,22.97558013,0,0
33.7,39.86718233,23.42254144,0,0
33.8,40.00651935,23.50176797,0,0
33.9,40.27149172,23.68099449,0,0
34,40.70066298,24.18022101,0,0
34.1,41.24994476,24.52983427,0,0
34.2,41.61502763,24.75049725,0,0
34.3,42.25756906,24.97889504,0,0
34.4,42.56243094,25.37060774,0,0
34.5,42.96883979,25.43027625,0,0
34.6,43.40154698,25.73911603,0,0
34.7,43.61845306,26.2282873,0,0
34.8,44.02187847,26.29679559,0,0
34.9,44.5325967,26.66165746,0,0
35,44.9922652,27.01524862,0,0
35.1,44.91259669,27.31867403,0,0
35.2,45.44154697,27.70696132,0,0
35.3,45.96254145,28.12176796,0,0
35.4,46.39038675,28.64872929,0,0
35.5,47.03270718,28.5317127,0,0
35.6,47.3362431,29.17027625,0,0
35.7,47.67701659,29.23359116,0,0
35.8,48.05049725,29.36662984,0,0
35.9,48.580663,29.93038675,0,0
36,49.00519339,30.12994476,0,0
36.1,49.7087293,30.75911602,0,0
36.2,50.28629835,31.38618785,0,0
36.3,50.74386741,31.54585636,0,0
36.4,51.23966852,31.72640885,0,0
36.5,51.77580111,32.13093925,0,0
36.6,52.24563537,32.78165747,0,0
36.7,52.76353592,33.20906079,0,0
36.8,53.19900554,33.78220996,0,0
36.9,53.7405525,34.05359115,0,0
37,54.23889504,34.48232045,0,0
37.1,54.86707184,35.16176797,0,0
37.2,55.49171273,35.50077349,0,0
37.3,56.10143647,35.79591161,0,0
37.4,56.69370167,35.93259669,0,0
37.5,57.05756907,36.82121547,0,0
37.6,57.24563537,36.80132598,0,0
37.7,57.77093924,37.60552487,0,0
37.8,58.26353592,38.00640886,0,0
37.9,58.76453039,38.57005526,0,0
38,59.51370167,39.13038674,0,0
38.1,60.28928178,39.66508288,0,0
38.2,60.80795582,40.70232045,0,0
