a,b,c,d
0.62,0,0,0
0.62,0.1,0,0
0.62,0.2,0,0
0.62,0.3,0,0
0.62,0.4,0,0
0.62,0.5,0,0
0.62,0.6,0,0
0.62,0.7,0,0
0.62,0.8,0,0
0.62,0.9,0,0
0.62,1,0,0
0.62,1.1,0,0
0.62,1.2,0,0
0.62,1.3,0,0
0.62,1.4,0,0
0.62,1.5,0,0
0.62,1.6,0,0
0.62,1.7,0,0
0.62,1.8,0,0
0.62,1.9,0,0
0.62,2,0,0
0.62,2.1,0,0
0.62,2.2,0,0
0.62,2.3,0,0
0.62,2.4,0,0
0.62,2.5,0,0
0.62,2.6,0,0
0.62,2.7,0,0
0.62,2.8,0,0
0.62,2.9,0,0
0.62,3,0,0
0.62,3.1,0,0
0.62,3.2,0,0
0.62,3.3,0,0
0.62,3.4,0,0
0.62,3.5,0,0
0.62,3.6,0,0
0.62,3.7,0,0
0.62,3.8,0,0
0.62,3.9,0,0
0.62,4,0,0
0.62,4.1,0,0
0.62,4.2,0,0
0.62,4.3,0,0
0.62,4.4,0,0
0.62,4.5,0,0
0.62,4.6,0,0
0.62,4.7,0,0
0.62,4.8,0,0
0.62,4.9,0,0
0.62,5,0,0
0.62,5.1,0,0
0.62,5.2,0,0
0.62,5.3,0,0
0.62,5.4,0,0
0.62,5.5,0,0
0.62,5.6,0,0
0.62,5.7,0,0
0.62,5.8,0,0
0.62,5.9,0,0
0.62,6,0,0
0.62,6.1,0,0
0.62,6.2,0,0
0.62,6.3,0,0
0.62,6.4,0,0
0.62,6.5,0,0
0.62,6.6,0,0
0.62,6.7,0,0
0.62,6.8,0,0
0.62,6.9,0,0
0.62,7,0,0
0.62,7.1,0,0
0.62,7.2,0,0
0.62,7.3,0,0
0.62,7.4,0,0
0.62,7.5,0,0
0.62,7.6,0,0
0.62,7.7,0,0
0.62,7.8,0,0
0.62,7.9,0,0
0.62,8,0,0
0.62,8.1,0,0
0.62,8.2,0,0
0.62,8.3,0,0
0.62,8.4,0,0
0.62,8.5,0,0
0.62,8.6,0,0
0.62,8.7,0,0
0.62,8.8,0,0
0.62,8.9,0,0
0.62,9,0,0
0.62,9.1,0,0
